Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,wac,bac,iac,aac,nac
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Race Alone or in Combination [1] - White,Race Alone or in Combination [1] - Black or African American,Race Alone or in Combination [1] - American Indian and Alaska Native,Race Alone or in Combination [1] - Asian,Race Alone or in Combination [1] - Native Hawaiian and Other Pacific Islander
est72010,"July 1, 2010",female,Female,tothisp,Total,0400000US01,01,Alabama,1737837,688748,31444,36008,3716
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0400000US01,01,Alabama,89701,8353,5648,1566,2231
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1595882,593963,25966,31380,2003
est72010,"July 1, 2010",male,Male,tothisp,Total,0400000US01,01,Alabama,1685583,602316,31614,32946,4234
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,160786,15794,9887,2882,3818
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3262634,1275270,53171,66072,4132
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3423420,1291064,63058,68954,7950
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0400000US01,01,Alabama,73963,7565,4213,1315,1553
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1667457,685395,27477,36182,2173
est72011,"July 1, 2011",female,Female,tothisp,Total,0400000US01,01,Alabama,1741420,692960,31690,37497,3726
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0400000US01,01,Alabama,90679,8481,5519,1557,2111
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1597219,597023,26258,32422,2072
est72011,"July 1, 2011",male,Male,tothisp,Total,0400000US01,01,Alabama,1687898,605504,31777,33979,4183
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,164642,16046,9732,2872,3664
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3264676,1282418,53735,68604,4245
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3429318,1298464,63467,71476,7909
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0400000US01,01,Alabama,75206,7811,4234,1262,1491
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1669011,690339,27850,38347,2288
est72012,"July 1, 2012",female,Female,tothisp,Total,0400000US01,01,Alabama,1744217,698150,32084,39609,3779
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0400000US01,01,Alabama,90302,8735,5455,1468,2031
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1599153,602205,26595,34402,2173
est72012,"July 1, 2012",male,Male,tothisp,Total,0400000US01,01,Alabama,1689455,610940,32050,35870,4204
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,165508,16546,9689,2730,3522
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3268164,1292544,54445,72749,4461
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3433672,1309090,64134,75479,7983
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0400000US01,01,Alabama,77152,8051,4275,1305,1472
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1669436,695088,28165,39979,2400
est72013,"July 1, 2013",female,Female,tothisp,Total,0400000US01,01,Alabama,1746588,703139,32440,41284,3872
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0400000US01,01,Alabama,90892,8956,5361,1490,1932
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1599785,607400,26879,35640,2226
est72013,"July 1, 2013",male,Male,tothisp,Total,0400000US01,01,Alabama,1690677,616356,32240,37130,4158
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,168044,17007,9636,2795,3404
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3269221,1302488,55044,75619,4626
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3437265,1319495,64680,78414,8030
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0400000US01,01,Alabama,78859,8199,4253,1354,1468
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1670042,699238,28484,41405,2472
est72014,"July 1, 2014",female,Female,tothisp,Total,0400000US01,01,Alabama,1748901,707437,32737,42759,3940
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0400000US01,01,Alabama,91687,9068,5302,1485,1894
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1600009,610817,27177,36802,2267
est72014,"July 1, 2014",male,Male,tothisp,Total,0400000US01,01,Alabama,1691696,619885,32479,38287,4161
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,170546,17267,9555,2839,3362
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3270051,1310055,55661,78207,4739
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3440597,1327322,65216,81046,8101
est72015,"July 1, 2015",female,Female,hisp,Hispanic,0400000US01,01,Alabama,80900,8486,4340,1451,1460
est72015,"July 1, 2015",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1669106,703260,28755,42828,2581
est72015,"July 1, 2015",female,Female,tothisp,Total,0400000US01,01,Alabama,1750006,711746,33095,44279,4041
est72015,"July 1, 2015",male,Male,hisp,Hispanic,0400000US01,01,Alabama,93212,9274,5325,1586,1851
est72015,"July 1, 2015",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1598550,614607,27508,38103,2331
est72015,"July 1, 2015",male,Male,tothisp,Total,0400000US01,01,Alabama,1691762,623881,32833,39689,4182
est72015,"July 1, 2015",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,174112,17760,9665,3037,3311
est72015,"July 1, 2015",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3267656,1317867,56263,80931,4912
est72015,"July 1, 2015",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3441768,1335627,65928,83968,8223
est72016,"July 1, 2016",female,Female,hisp,Hispanic,0400000US01,01,Alabama,83764,8767,4456,1519,1488
est72016,"July 1, 2016",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1669117,706700,28960,44468,2654
est72016,"July 1, 2016",female,Female,tothisp,Total,0400000US01,01,Alabama,1752881,715467,33416,45987,4142
est72016,"July 1, 2016",male,Male,hisp,Hispanic,0400000US01,01,Alabama,95497,9476,5452,1615,1850
est72016,"July 1, 2016",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1597362,616954,27743,39568,2363
est72016,"July 1, 2016",male,Male,tothisp,Total,0400000US01,01,Alabama,1692859,626430,33195,41183,4213
est72016,"July 1, 2016",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,179261,18243,9908,3134,3338
est72016,"July 1, 2016",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3266479,1323654,56703,84036,5017
est72016,"July 1, 2016",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3445740,1341897,66611,87170,8355
est72017,"July 1, 2017",female,Female,hisp,Hispanic,0400000US01,01,Alabama,86191,9041,4625,1570,1517
est72017,"July 1, 2017",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1669504,710499,29232,45815,2777
est72017,"July 1, 2017",female,Female,tothisp,Total,0400000US01,01,Alabama,1755695,719540,33857,47385,4294
est72017,"July 1, 2017",male,Male,hisp,Hispanic,0400000US01,01,Alabama,97483,9722,5576,1663,1873
est72017,"July 1, 2017",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1595961,618373,28012,40868,2420
est72017,"July 1, 2017",male,Male,tothisp,Total,0400000US01,01,Alabama,1693444,628095,33588,42531,4293
est72017,"July 1, 2017",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,183674,18763,10201,3233,3390
est72017,"July 1, 2017",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3265465,1328872,57244,86683,5197
est72017,"July 1, 2017",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3449139,1347635,67445,89916,8587
est72018,"July 1, 2018",female,Female,hisp,Hispanic,0400000US01,01,Alabama,88989,9351,4816,1648,1573
est72018,"July 1, 2018",female,Female,nhisp,Not Hispanic,0400000US01,01,Alabama,1670798,713315,29453,46702,2856
est72018,"July 1, 2018",female,Female,tothisp,Total,0400000US01,01,Alabama,1759787,722666,34269,48350,4429
est72018,"July 1, 2018",male,Male,hisp,Hispanic,0400000US01,01,Alabama,100079,10050,5740,1754,1919
est72018,"July 1, 2018",male,Male,nhisp,Not Hispanic,0400000US01,01,Alabama,1595963,620190,28280,41731,2503
est72018,"July 1, 2018",male,Male,tothisp,Total,0400000US01,01,Alabama,1696042,630240,34020,43485,4422
est72018,"July 1, 2018",totsex,Both Sexes,hisp,Hispanic,0400000US01,01,Alabama,189068,19401,10556,3402,3492
est72018,"July 1, 2018",totsex,Both Sexes,nhisp,Not Hispanic,0400000US01,01,Alabama,3266761,1333505,57733,88433,5359
est72018,"July 1, 2018",totsex,Both Sexes,tothisp,Total,0400000US01,01,Alabama,3455829,1352906,68289,91835,8851
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US02,02,Alaska,15303,1867,2959,1091,432
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US02,02,Alaska,234832,13946,66253,25502,5148
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US02,02,Alaska,250135,15813,69212,26593,5580
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0400000US02,02,Alaska,16081,1836,3316,1216,389
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0400000US02,02,Alaska,261493,16518,67234,23134,5391
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0400000US02,02,Alaska,277574,18354,70550,24350,5780
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0400000US02,02,Alaska,31384,3703,6275,2307,821
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0400000US02,02,Alaska,496325,30464,133487,48636,10539
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0400000US02,02,Alaska,527709,34167,139762,50943,11360
